href,apartment_type,price,address,square,building_floor,floor,commission_percent,time_of_creation,agency,metro_distance,metro_station,latitude,longitude,postal_code,area
/nizhniy_novgorod/kvartiry/1-k_kvartira_40_m_610_et._1199532090,"
 1-к квартира",17000,ул. Бориса Панина,40.0,6,10,50,2020-06-22 13:22:00,Агентство,"2,2 км",Горьковская,56.31001800000001,44.029459,,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_40_m_1617_et._706897067,"
 1-к квартира",14000,"Южный б-р, 18",40.0,16,17,0,2020-06-22 11:27:00,,"2,4 км",Парк Культуры,56.220123,43.867448,603142.0,Автозаводский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_52_m_1125_et._1926770400,"
 2-к квартира",17000,"Левобережная ул., 2",52.0,11,25,0,2020-06-22 11:41:00,Агентство,1 км,Ленинская,56.300605,43.953121,,Ленинский район
/nizhniy_novgorod/kvartiry/studiya_22_m_1019_et._938931274,"
 Студия",11000,"д. Афонино, ул. Красная Поляна, 2",22.0,10,19,0,2020-06-21 19:48:00,,,без метро,56.276738,44.084544,,область
/nizhniy_novgorod/kvartiry/2-k_kvartira_41_m_45_et._1931858197,"
 2-к квартира",15000,"пр-т Героев, 35",41.0,4,5,0,2020-06-21 23:29:00,,"1,4 км",Буревестник,56.321127,43.887633,603044.0,Московский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_52_m_29_et._1785299814,"
 2-к квартира",20000,"Верхнепечёрская ул., 14",52.0,2,9,0,2020-06-22 20:11:00,,,без метро,56.285973,44.06945200000001,,Нижегородский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_61_m_825_et._1926707392,"
 2-к квартира",20000,"пр-т Гагарина, 99к2",61.0,8,25,0,2020-06-22 14:29:00,Агентство,,без метро,56.239423,43.957154,603107.0,Приокский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_67_m_410_et._1916717787,"
 2-к квартира",25000,"ул. Невзоровых, 49",67.0,4,10,60,2020-06-22 17:54:00,Агентство,"1,7 км",Горьковская,56.3159,44.022192,603024.0,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_31_m_610_et._1925213953,"
 1-к квартира",15500,"ул. 40 лет Победы, 19",31.0,6,10,50,2020-06-22 13:14:00,Агентство,,без метро,56.223807,43.953049,603137.0,Приокский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_46_m_39_et._1191226206,"
 1-к квартира",20000,"ул. Невзоровых, 66А",46.0,3,9,70,2020-06-22 11:26:00,Агентство,"1,8 км",Горьковская,56.316684,44.023261,603024.0,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_42.1_m_1416_et._1861728408,"
 1-к квартира",18000,"Волжская наб., 8к1",42.1,14,16,0,2020-06-22 11:18:00,,"1,8 км",Стрелка,56.348402,43.932971,603159.0,Канавинский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_44_m_912_et._983931988,"
 1-к квартира",22000,"ул. Невзоровых, 64к2",44.0,9,12,70,2020-06-22 11:24:00,Агентство,"1,7 км",Горьковская,56.316594,44.02159,603024.0,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_42_m_910_et._1531757693,"
 1-к квартира",12000,"пр-т Кораблестроителей, 70",42.0,9,10,0,2020-06-21 19:31:00,,,без метро,56.361833,43.79888,,Сормовский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_27.8_m_79_et._1916623768,"
 1-к квартира",8000,"ул. Александра Люкина, 5",27.8,7,9,0,2020-06-21 13:39:00,,"2,1 км",Буревестник,56.316479,43.879234,603047.0,Канавинский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_65_m_712_et._1936925599,"
 2-к квартира",28000,"Республиканская ул., 14",65.0,7,12,0,2020-06-22 17:03:00,,"1,8 км",Горьковская,56.311466,44.023252,603105.0,Советский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_45_m_25_et._1897827183,"
 2-к квартира",25000,"ул. Пискунова, 3к4",45.0,2,5,70,2020-06-22 17:01:00,Агентство,"1,1 км",Горьковская,56.323333,43.999662,,Нижегородский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_47_m_717_et._928356081,"
 1-к квартира",18500,"ул. 40 лет Победы, 4",47.0,7,17,0,2020-06-22 10:08:00,Агентство,,без метро,56.227285,43.947686,603137.0,Приокский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_150_m_710_et._1118666214,"
 3-к квартира",40000,"Медицинская ул., 1А",150.0,7,10,70,2020-06-22 11:23:00,Агентство,,без метро,56.281721,43.98254,603081.0,Советский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_94_m_1218_et._1931042742,"
 3-к квартира",50000,"пр-т Гагарина, 122",94.0,12,18,30,2020-06-22 19:53:00,,,без метро,56.26621700000001,43.975956,603009.0,Приокский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_100_m_318_et._864304000,"
 3-к квартира",35000,"ул. Тимирязева, 7к1",100.0,3,18,70,2020-06-22 11:25:00,Агентство,900 м,Горьковская,56.306018,43.998737,603022.0,Советский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_70_m_1318_et._1908186247,"
 2-к квартира",30000,"Краснозвёздная ул., 35",70.0,13,18,50,2020-06-22 18:32:00,Агентство,,без метро,56.284374,43.988056,603081.0,Советский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_120_m_34_et._1854944081,"
 3-к квартира",30000,"ул. имени Генерала Ивлиева И.Д., 30к1",120.0,3,4,50,2020-07-07 12:58:00,Агентство,,без метро,56.291723,44.053175,,Советский район
