href,price,agency,commissionPercent,metroDistance,metroStation,adress,metroLine,apartmentType,apartmentSquare,apartmentFloor,buildingFloor,absoluteTime,relativeTime,latitude,longitude,postalCode,area
/nizhniy_novgorod/kvartiry/1-k_kvartira_35.5_m_910_et._1689389869,13000,,0 %,1.5 км,Парк Культуры,"Нижний Новгород, Южное шоссе",Автозаводская линия,1-к квартира,35.5,9,10,   20 сентября 18:00 ,1 неделю назад,56.228436,43.867457,,Автозаводский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_33_m_45_et._1501820106,10000,"АН ""Седьмой Континент""",50 %,5.5 км,Буревестник,"Нижний Новгород, улица Гаугеля, 20",Сормовская линия,1-к квартира,33.0,4,5,   20 сентября 16:57 ,1 неделю назад,56.357544,43.813998,603139.0,Сормовский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_45_m_45_et._1814050884,15000,Агентство,40 %,400 м,Двигатель Революции,"Нижний Новгород, проспект Ленина, 49к1",Автозаводская линия,2-к квартира,45.0,4,5,   20 сентября 16:40 ,1 неделю назад,56.28052099999999,43.921518,603135.0,Ленинский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_50_m_89_et._1805208863,14000,Агентство,80 %,2.3 км,Парк Культуры,"Нижний Новгород, улица Строкина, 14",Автозаводская линия,2-к квартира,50.0,8,9,   20 сентября 16:23 ,1 неделю назад,56.260513,43.846778,603138.0,Автозаводский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_46_m_29_et._1811535947,15000,,0 %,2.6 км,Буревестник,"Нижний Новгород, улица Культуры, 3",Сормовская линия,2-к квартира,46.0,2,9,   20 сентября 16:35 ,1 неделю назад,56.349385,43.86072,603003.0,Сормовский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_46_m_45_et._1578942610,15000,Агентство,70 %,700 м,Двигатель Революции,"Нижний Новгород, Снежная улица, 27",Автозаводская линия,2-к квартира,46.0,4,5,   9 сентября 16:27 ,2 недели назад,56.278153,43.911493,603135.0,Ленинский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_43_m_39_et._1776833169,18000,,70 %,1.7 км,Горьковская,"Нижний Новгород, улица Невзоровых, 49",Автозаводская линия,1-к квартира,43.0,3,9,   9 сентября 23:35 ,2 недели назад,56.3159,44.022192,603024.0,Советский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_54_m_69_et._1800308941,20000,,0 %,3.9 км,Горьковская,"Нижний Новгород, улица Ванеева, 221",Автозаводская линия,2-к квартира,54.0,6,9,   9 сентября 19:23 ,2 недели назад,56.28436899999999,44.030232,603136.0,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_34_m_99_et._824135362,15000,Агентство,0 %,2.3 км,Горьковская,"Нижний Новгород, ул. Агрономическая.136",Автозаводская линия,1-к квартира,34.0,9,9,   9 сентября 17:45 ,2 недели назад,56.301164,44.025237,603105.0,Советский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_43_m_39_et._1075940031,15000,,0 %,2.2 км,Парк Культуры,"Нижний Новгород, ул Мончегорская д. 31",Автозаводская линия,2-к квартира,43.0,3,9,   9 сентября 13:51 ,2 недели назад,56.235886,43.825479,603142.0,Автозаводский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_85.6_m_610_et._1771862109,30000,,70 %,1.7 км,Горьковская,"Нижний Новгород, Ошарская улица, 96А",Автозаводская линия,3-к квартира,85.6,6,10,   9 сентября 20:49 ,2 недели назад,56.307446999999996,44.019865,603105.0,Советский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_43_m_25_et._1799984649,14000,Агентство,60 %,2 км,Буревестник,"Нижний Новгород, Берёзовская улица, 6",Сормовская линия,2-к квартира,43.0,2,5,   9 сентября 11:30 ,2 недели назад,56.316564,43.884337,603079.0,Канавинский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_60_m_79_et._1797547070,15000,Агентство,50 %,4.9 км,Горьковская,"Нижний Новгород, улица Маршала Малиновского, 6",Автозаводская линия,2-к квартира,60.0,7,9,   9 сентября 13:32 ,2 недели назад,56.280786,44.047246,,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_36_m_22_et._1052127030,7000,Mikhail Arenda NN,70 %,2.1 км,Буревестник,"Нижний Новгород, ул Героя Рябцева",Сормовская линия,1-к квартира,36.0,2,2,   9 сентября 12:38 ,2 недели назад,56.32218,43.866496000000005,,Московский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_50_m_1012_et._1811336540,16500,Агентство,70 %,4.1 км,Автозаводская,"Нижний Новгород, проспект Гагарина, 204",Автозаводская линия,2-к квартира,50.0,10,12,   9 сентября 12:58 ,2 недели назад,56.23474,43.954351,603137.0,Приокский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_43_m_69_et._1805474111,16000,,0 %,1.8 км,Горьковская,"Нижний Новгород, Ковалихинская улица, 30",Автозаводская линия,2-к квартира,43.0,6,9,   9 сентября 14:02 ,2 недели назад,56.321626,44.019954999999996,603155.0,Нижегородский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_75_m_29_et._1381530842,18000,Агентство,50 %,1.2 км,Московская,"Нижний Новгород, жилой район Мещерское Озеро, улица Сергея Есенина, 4",Сормовская линия,3-к квартира,75.0,2,9,   9 сентября 11:27 ,2 недели назад,56.331912,43.945242,603070.0,Канавинский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_36_m_25_et._1819835728,10000,Агентство,55 %,1.6 км,Бурнаковская,"Нижний Новгород, проспект Героев",Сормовская линия,1-к квартира,36.0,2,5,   9 сентября 09:09 ,2 недели назад,56.319679,43.889682,,Московский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_48_m_29_et._1806508922,15500,Агентство,60 %,4.4 км,Горьковская,"Нижний Новгород, жилой район Кузнечиха, улица Маршала Рокоссовского, 8",Автозаводская линия,2-к квартира,48.0,2,9,   9 сентября 15:34 ,2 недели назад,56.28295,44.039431,,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_22_m_817_et._1219851510,10000,Агентство,50 %,6.6 км,Буревестник,"Нижний Новгород, проспект Кораблестроителей, 74",Сормовская линия,1-к квартира,22.0,8,17,   9 сентября 09:51 ,2 недели назад,56.362491000000006,43.798026,,Сормовский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_45_m_25_et._1814732313,13000,Агентство,50 %,1.7 км,Ленинская,"Нижний Новгород, Завкомовская улица, 6к1",Автозаводская линия,2-к квартира,45.0,2,5,   9 сентября 09:01 ,2 недели назад,56.302548,43.9116,603034.0,Ленинский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_32.7_m_36_et._1816615859,17000,,20 %,500 м,Стрелка,"Нижний Новгород, улица Бетанкура, 6",Сормовская линия,1-к квартира,32.7,3,6,   9 сентября 14:09 ,2 недели назад,56.33068000000001,43.951225,603070.0,Канавинский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_44_m_45_et._1804926033,19500,,70 %,700 м,Стрелка,"Нижний Новгород, Ярмарочный проезд",Сормовская линия,2-к квартира,44.0,4,5,   9 сентября 19:55 ,2 недели назад,56.330261,43.956974,,Канавинский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_101_m_79_et._1770455569,22500,Агентство,70 %,3.9 км,Автозаводская,"Нижний Новгород, проспект Гагарина, 107",Автозаводская линия,2-к квартира,101.0,7,9,   9 сентября 18:21 ,2 недели назад,56.23433000000001,43.950255,603137.0,Приокский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_43_m_510_et._1808208040,13500,,50 %,3.8 км,Буревестник,"Нижний Новгород, улица Свободы, 81",Сормовская линия,1-к квартира,43.0,5,10,   9 сентября 13:55 ,2 недели назад,56.362601,43.859175,603003.0,Сормовский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_52_m_410_et._1591256846,17000,Агентство,60 %,900 м,Стрелка,"Нижний Новгород, Волжская набережная, 10 В",Сормовская линия,2-к квартира,52.0,4,10,   9 сентября 09:48 ,2 недели назад,56.343064,43.944281,603159.0,Канавинский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_35_m_311_et._1523746053,18000,Агентство,50 %,1.1 км,Горьковская,"Нижний Новгород, улица Кулибина, 15к1",Автозаводская линия,1-к квартира,35.0,3,11,   9 сентября 17:36 ,2 недели назад,56.30453000000001,43.987328000000005,603022.0,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_35_m_49_et._1805903902,14000,Агентство,50 %,4.2 км,Автозаводская,"Нижний Новгород, улица 40 лет Победы, 1",Автозаводская линия,1-к квартира,35.0,4,9,   9 сентября 10:41 ,2 недели назад,56.22784,43.945853,603137.0,Приокский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_29.3_m_1010_et._1808073524,13500,,50 %,1.5 км,Буревестник,"Нижний Новгород, Бурнаковская улица, 89",Сормовская линия,1-к квартира,29.3,10,10,   9 сентября 10:29 ,2 недели назад,56.34264,43.911268,603074.0,Сормовский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_32_m_25_et._671140391,13000,Агентство,70 %,1.2 км,Московская,"Нижний Новгород, Ул. Должанская 7",Сормовская линия,1-к квартира,32.0,2,5,   9 сентября 09:45 ,2 недели назад,56.329292,43.958124,603070.0,Канавинский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_65_m_617_et._1815653098,20000,Агентство,60 %,3.7 км,Горьковская,"Нижний Новгород, улица Богородского, 7к2",Автозаводская линия,2-к квартира,65.0,6,17,   9 сентября 14:52 ,2 недели назад,56.294566,44.044174,603122.0,Советский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_40_m_35_et._1802831804,15000,Риэлторская компания «Манхэттен»,70 %,4.3 км,Автозаводская,"Нижний Новгород, улица Маршала Жукова, 20",Автозаводская линия,2-к квартира,40.0,3,5,   9 сентября 12:52 ,2 недели назад,56.230102,43.952537,603137.0,Приокский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_50_m_210_et._1815644863,26000,,0 %,2.4 км,Горьковская,"Нижний Новгород, Агрономическая улица, 134",Автозаводская линия,2-к квартира,50.0,2,10,   9 сентября 17:51 ,2 недели назад,56.300534999999996,44.025847999999996,603105.0,Советский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_63.5_m_39_et._1820317528,23000,,0 %,800 м,Стрелка,"Нижний Новгород, жилой район Мещерское Озеро, улица Сергея Есенина, 28",Сормовская линия,2-к квартира,63.5,3,9,   9 сентября 14:34 ,2 недели назад,56.333864,43.937158000000004,603070.0,Канавинский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_43_m_35_et._1809050110,16000,Агентство,0 %,3.5 км,Горьковская,"Нижний Новгород, улица Ванеева, 104к2",Автозаводская линия,2-к квартира,43.0,3,5,   9 сентября 10:03 ,2 недели назад,56.293032,44.038109999999996,603122.0,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_38_m_717_et._1563407292,15000,Агентство,50 %,900 м,Ленинская,"Нижний Новгород, Окская улица, 2",Автозаводская линия,1-к квартира,38.0,7,17,   9 сентября 09:49 ,2 недели назад,56.300635,43.951144,,Ленинский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_100_m_310_et._1525513791,25000,,0 %,1.4 км,Стрелка,"жилой район Мещерское Озеро, Нижний Новгород, Пролетарская улица, 10А",Сормовская линия,3-к квартира,100.0,3,10,   9 сентября 08:55 ,2 недели назад,56.34477,43.932414,,Канавинский район
